Generation, BPA-R, BPA-S, BPA-T, BPA-P, WPA-R, WPA-S, WPA-T, WPA-P, AA-R, AA-S, AA-T, AA-P
14700,0.997022, 0.011854, 0.012945, 0.828318,0.948224, 0.097173, 0.109809, 0.849338,0.990891,0.017992,0.018538,0.843068
14800,0.996636, 0.013444, 0.012008, 0.860390,0.929206, 0.075602, 0.093035, 0.942682,0.988109,0.020324,0.016874,0.852487
14900,0.996725, 0.013468, 0.009947, 0.840100,0.998000, 0.105045, 0.043405, 0.915929,0.994291,0.018368,0.016291,0.840322
15000,0.996777, 0.011862, 0.008479, 0.853673,0.913681, 0.118505, 0.062259, 0.818375,0.989451,0.021007,0.017020,0.849243
15100,0.997044, 0.010972, 0.012225, 0.849672,0.900854, 0.020295, 0.071513, 0.950861,0.992099,0.017553,0.016863,0.855978
15200,0.998000, 0.007883, 0.002000, 0.924327,0.917567, 0.049390, 0.002000, 0.861802,0.990255,0.018903,0.015582,0.832170
15300,0.998000, 0.002000, 0.002000, 0.739947,0.960855, 0.093210, 0.131017, 0.860060,0.991769,0.019690,0.021223,0.831504
15400,0.996929, 0.012886, 0.011960, 0.824004,0.902369, 0.002000, 0.002000, 0.866054,0.994246,0.017730,0.016385,0.821430
15500,0.997144, 0.016755, 0.011622, 0.799338,0.902123, 0.112941, 0.002000, 0.880167,0.992217,0.017561,0.015231,0.799309
15600,0.997089, 0.013346, 0.015631, 0.811795,0.941208, 0.002000, 0.155098, 0.730886,0.988528,0.023480,0.019948,0.805081
15700,0.996183, 0.010935, 0.014999, 0.807016,0.924088, 0.002000, 0.006444, 0.701467,0.992334,0.013708,0.017238,0.795953
15800,0.997268, 0.009447, 0.014582, 0.822826,0.884286, 0.002000, 0.137044, 0.906782,0.989150,0.021828,0.019654,0.820069
15900,0.997351, 0.011027, 0.016619, 0.814066,0.953804, 0.062551, 0.108868, 0.736568,0.994294,0.014331,0.020414,0.829503
16000,0.997389, 0.011198, 0.015266, 0.832065,0.930196, 0.107352, 0.015618, 0.784901,0.989960,0.018971,0.020441,0.827421
16100,0.997538, 0.013381, 0.011980, 0.827702,0.901066, 0.170422, 0.002000, 0.914094,0.984414,0.018612,0.018860,0.833780
16200,0.997535, 0.011850, 0.010519, 0.847755,0.918909, 0.087092, 0.066267, 0.757855,0.994387,0.018543,0.016013,0.851101
16300,0.998000, 0.002000, 0.043235, 0.917851,0.928288, 0.002000, 0.102759, 0.896018,0.990537,0.018031,0.017721,0.847519
16400,0.996865, 0.010344, 0.009641, 0.846540,0.903005, 0.024315, 0.036785, 0.822885,0.992030,0.014106,0.014976,0.843706
16500,0.997214, 0.010336, 0.009205, 0.843141,0.956449, 0.107492, 0.180401, 0.940004,0.992017,0.016972,0.019466,0.845031
16600,0.997330, 0.010696, 0.008760, 0.833154,0.914056, 0.048372, 0.079602, 0.753163,0.994718,0.017335,0.012873,0.839014
16700,0.997123, 0.010874, 0.010078, 0.841188,0.911006, 0.102961, 0.017204, 0.883666,0.995037,0.017962,0.017272,0.847040
16800,0.997047, 0.012763, 0.009644, 0.841605,0.925772, 0.065046, 0.002000, 0.858635,0.990550,0.018064,0.019030,0.841783
16900,0.997340, 0.009945, 0.008965, 0.848745,0.901471, 0.109807, 0.093955, 0.905679,0.992848,0.013505,0.015072,0.851313
17000,0.997146, 0.012950, 0.007755, 0.847322,0.907418, 0.153061, 0.017430, 0.860500,0.993144,0.018737,0.014079,0.841280
17100,0.996279, 0.012609, 0.009391, 0.853287,0.985867, 0.111055, 0.104637, 0.835747,0.992715,0.022184,0.018183,0.857476
17200,0.998000, 0.002000, 0.007444, 0.714035,0.912047, 0.109112, 0.112610, 0.817377,0.991241,0.019601,0.021860,0.820561
17300,0.995695, 0.014341, 0.013852, 0.827317,0.907123, 0.002000, 0.199299, 0.968637,0.990476,0.016683,0.020199,0.831076
17400,0.995183, 0.012151, 0.009158, 0.860312,0.900356, 0.056096, 0.022171, 0.899230,0.987812,0.019087,0.013763,0.847515
17500,0.994708, 0.009739, 0.008028, 0.812503,0.908223, 0.002000, 0.077956, 0.865047,0.991732,0.012536,0.011081,0.824290
17600,0.995816, 0.013141, 0.009614, 0.814424,0.955708, 0.002000, 0.072338, 0.612509,0.992002,0.017941,0.020255,0.807902
17700,0.998000, 0.014030, 0.002000, 0.852020,0.933050, 0.086694, 0.097782, 0.884470,0.991423,0.018537,0.016111,0.845933
17800,0.996463, 0.011633, 0.009920, 0.838236,0.913502, 0.079655, 0.075810, 0.848196,0.992981,0.013951,0.015958,0.833218
17900,0.995822, 0.011053, 0.009669, 0.837340,0.906403, 0.018800, 0.094888, 0.855770,0.991898,0.016354,0.014284,0.832219
18000,0.996625, 0.009414, 0.012273, 0.833380,0.909110, 0.002000, 0.110969, 0.886016,0.990011,0.017153,0.018822,0.841189
