Generation, BPA-R, BPA-S, BPA-T, BPA-P, SD-R, SD-S, SD-T, SD-P, AA-R, AA-S, AA-T, AA-P, ABPA-R, ABPA-S, ABPA-T, ABPA-P, Total Score
330001,0.002000, 0.159295, 0.002000, 0.002000,0.094050,0.080275,0.057803,0.026026,0.123179,0.106974,0.055579,0.013745,0.112445,0.097814,0.009582,0.029492,28507866
330501,0.057131, 0.123389, 0.002000, 0.002961,0.069842,0.071038,0.080744,0.025871,0.085221,0.089074,0.068392,0.011914,0.051074,0.112082,0.036768,0.025642,28455768
331001,0.206302, 0.096577, 0.005517, 0.061047,0.086410,0.061902,0.052354,0.023798,0.143880,0.078797,0.055969,0.016580,0.188684,0.112408,0.012815,0.021682,28495451
331501,0.265385, 0.093887, 0.002000, 0.002000,0.091009,0.061293,0.079511,0.022343,0.122625,0.077693,0.065710,0.011680,0.174289,0.072780,0.055281,0.021397,28473443
332001,0.002000, 0.052858, 0.002000, 0.002000,0.077143,0.032650,0.063897,0.024613,0.087463,0.033791,0.055521,0.012427,0.040584,0.051822,0.019466,0.026483,28455700
332501,0.216654, 0.198413, 0.070645, 0.015370,0.098615,0.056033,0.071295,0.015599,0.155988,0.068027,0.067913,0.007455,0.140771,0.115174,0.060865,0.006457,28444937
333001,0.049929, 0.052860, 0.129874, 0.002000,0.054361,0.061580,0.054767,0.022921,0.051616,0.061896,0.059421,0.011883,0.071721,0.081349,0.075086,0.002000,28427791
333501,0.127961, 0.133157, 0.064550, 0.002000,0.075227,0.067073,0.068209,0.027045,0.132385,0.075529,0.048925,0.015602,0.086485,0.045719,0.027969,0.002000,28377823
334001,0.011345, 0.002000, 0.002000, 0.002000,0.068637,0.066496,0.059353,0.024982,0.089605,0.069514,0.053669,0.013373,0.043139,0.061909,0.112911,0.008473,28473086
334501,0.002000, 0.151844, 0.002000, 0.002000,0.071058,0.067242,0.067178,0.009702,0.070009,0.071191,0.066037,0.005141,0.047271,0.081516,0.002000,0.016206,28417012
335001,0.135472, 0.053771, 0.138494, 0.054072,0.080173,0.084556,0.081288,0.026334,0.128316,0.107259,0.081533,0.013846,0.193227,0.068629,0.047498,0.033015,28509942
335501,0.002000, 0.002000, 0.122055, 0.002000,0.080450,0.068172,0.059327,0.025862,0.081597,0.061375,0.067111,0.013671,0.035468,0.032926,0.094528,0.014856,28427833
336001,0.128880, 0.118996, 0.016830, 0.002000,0.081026,0.064319,0.066694,0.018704,0.124116,0.069360,0.079998,0.011090,0.180963,0.147825,0.062367,0.002000,28501176
336501,0.002000, 0.057736, 0.068292, 0.002000,0.078576,0.051860,0.064592,0.041793,0.075853,0.047165,0.057994,0.020795,0.035394,0.020579,0.047575,0.027195,28495144
337001,0.193780, 0.173476, 0.002000, 0.018223,0.089568,0.069767,0.082896,0.036343,0.099273,0.093042,0.087049,0.019087,0.136259,0.136782,0.041792,0.032981,28405466
