Generation, BPA-R, BPA-S, BPA-T, BPA-P, WPA-R, WPA-S, WPA-T, WPA-P, AA-R, AA-S, AA-T, AA-P
12900,0.360317, 0.294140, 0.005369, 0.011371,0.994828, 0.985387, 0.456751, 0.533893,0.421315,0.260641,0.140908,0.182374
13000,0.388034, 0.043900, 0.012076, 0.026167,0.983835, 0.832149, 0.943450, 0.727079,0.396857,0.302152,0.185500,0.169263
13100,0.691544, 0.030142, 0.008288, 0.011183,0.127422, 0.988269, 0.928694, 0.915802,0.414764,0.268983,0.163311,0.169986
13200,0.695938, 0.033799, 0.003680, 0.009187,0.749069, 0.929004, 0.792081, 0.814561,0.384896,0.272435,0.151567,0.143515
13300,0.125869, 0.090795, 0.005341, 0.003165,0.878226, 0.952595, 0.780627, 0.962779,0.416411,0.272205,0.177611,0.146723
13400,0.287684, 0.022834, 0.023760, 0.018224,0.564191, 0.983515, 0.687898, 0.905826,0.392455,0.277872,0.148596,0.154838
13500,0.695938, 0.033799, 0.003680, 0.009187,0.895682, 0.972724, 0.464761, 0.270735,0.345097,0.290693,0.181763,0.146287
13600,0.376048, 0.288566, 0.007801, 0.005288,0.879053, 0.999738, 0.172404, 0.815163,0.384862,0.276621,0.186104,0.148304
13700,0.390679, 0.131497, 0.002886, 0.007380,0.034663, 0.976609, 0.487692, 0.608514,0.377948,0.260781,0.155474,0.148812
13800,0.028219, 0.022328, 0.025115, 0.002152,0.173919, 0.973968, 0.896265, 0.900134,0.403859,0.270306,0.139102,0.151788
13900,0.125869, 0.090795, 0.005341, 0.003165,0.989579, 0.986811, 0.787620, 0.974991,0.385045,0.291682,0.174904,0.169189
14000,0.091390, 0.170445, 0.009169, 0.013496,0.659198, 0.934764, 0.141489, 0.678165,0.393626,0.285988,0.138998,0.157644
14100,0.529341, 0.174265, 0.030043, 0.002061,0.694737, 0.906705, 0.882274, 0.760247,0.354416,0.275721,0.169577,0.151023
14200,0.188224, 0.088466, 0.012930, 0.006452,0.974258, 0.996784, 0.229867, 0.275301,0.386594,0.267270,0.147310,0.180498
