Generation, BPA-R, BPA-S, BPA-T, BPA-P, SD-R, SD-S, SD-T, SD-P, AA-R, AA-S, AA-T, AA-P, ABPA-R, ABPA-S, ABPA-T, ABPA-P,Total Score
549001,0.022700, 0.001567, 0.002000, 0.002000,0.083262,0.058799,0.079773,0.021439,0.086393,0.062583,0.070144,0.010632,0.041025,0.027583,0.006791,0.001832,28456875
549501,0.053171, 0.002000, 0.092567, 0.006644,0.047428,0.058321,0.080484,0.033468,0.046220,0.045433,0.083997,0.020913,0.079596,0.005660,0.067843,0.003548,28528002
550001,0.094498, 0.002000, 0.018242, 0.002000,0.073325,0.056392,0.083675,0.011563,0.093229,0.066179,0.146756,0.006791,0.075877,0.061723,0.098075,0.002000,28451198
550501,0.080496, 0.005884, 0.124198, 0.002000,0.060855,0.066494,0.079891,0.021253,0.060210,0.061130,0.108655,0.009542,0.058338,0.008348,0.080632,0.002000,28462649
551001,0.132553, 0.002000, 0.017395, 0.002000,0.078038,0.061750,0.071561,0.028251,0.096089,0.074078,0.065805,0.016750,0.147968,0.090822,0.075045,0.002000,28400078
551501,0.086325, 0.002000, 0.067931, 0.013672,0.051397,0.088979,0.055034,0.029352,0.077343,0.089253,0.049395,0.018175,0.051260,0.090444,0.023902,0.005891,28521117
552001,0.021615, 0.147068, 0.094282, 0.099548,0.083759,0.079032,0.073493,0.035878,0.102556,0.130179,0.080452,0.029281,0.097260,0.123471,0.052665,0.034516,28446124
552501,0.002000, 0.105719, 0.086353, 0.100950,0.068638,0.087090,0.053099,0.028598,0.087919,0.118281,0.057035,0.016446,0.051756,0.091829,0.040758,0.034983,28454340
553001,0.002000, 0.228369, 0.072352, 0.002000,0.077666,0.097697,0.079852,0.013260,0.101236,0.115597,0.065695,0.007792,0.130739,0.122056,0.025451,0.002000,28473679
553501,0.112242, 0.180828, 0.061350, 0.002000,0.053989,0.074747,0.063938,0.023852,0.127492,0.072665,0.078926,0.010960,0.136132,0.061609,0.084330,0.002000,28505919
554001,0.184915, 0.042954, 0.089168, 0.002000,0.080599,0.049330,0.051997,0.024174,0.125417,0.041680,0.053130,0.014006,0.177294,0.044701,0.062568,0.002000,28458080
554501,0.178183, 0.002000, 0.002000, 0.002000,0.065857,0.084547,0.051662,0.028458,0.073070,0.080335,0.046751,0.016674,0.117337,0.002000,0.026715,0.002000,28471200
555001,0.120135, 0.059235, 0.056135, 0.002000,0.074411,0.077527,0.050389,0.023019,0.078519,0.069796,0.057897,0.016204,0.080880,0.052462,0.043321,0.020990,28440971
555501,0.067953, 0.051938, 0.089774, 0.039717,0.089087,0.071929,0.071314,0.031574,0.098831,0.104187,0.087387,0.022418,0.063924,0.125854,0.096622,0.043322,28413824
556001,0.002000, 0.098238, 0.174129, 0.002000,0.098775,0.061734,0.072795,0.025043,0.126503,0.084476,0.117508,0.013160,0.098635,0.080608,0.112653,0.032385,28462306
556501,0.097278, 0.121198, 0.016165, 0.002000,0.067995,0.060313,0.075163,0.026337,0.102365,0.070294,0.076535,0.013946,0.070503,0.079837,0.092064,0.002000,28470712
557001,0.137746, 0.067047, 0.179844, 0.114529,0.087171,0.068837,0.074495,0.022888,0.172718,0.063769,0.095456,0.012456,0.079503,0.041895,0.125437,0.051779,28449438
557501,0.002000, 0.064644, 0.029091, 0.002000,0.079391,0.043314,0.072382,0.021538,0.089323,0.044060,0.082113,0.011462,0.005200,0.057478,0.052435,0.002000,28451075
558001,0.128154, 0.002000, 0.071718, 0.002000,0.092336,0.073647,0.055920,0.008085,0.100664,0.083067,0.048349,0.005209,0.079981,0.030783,0.025239,0.002000,28381820
558501,0.002000, 0.135676, 0.091035, 0.073683,0.068917,0.080235,0.050594,0.022069,0.092420,0.089161,0.063831,0.017967,0.063119,0.073654,0.050414,0.025894,28427149
559001,0.059951, 0.023272, 0.002000, 0.001599,0.105503,0.052782,0.051623,0.016899,0.102601,0.059697,0.044316,0.005088,0.143750,0.014630,0.009608,0.001866,28413644
559501,0.144135, 0.076659, 0.068767, 0.002000,0.070803,0.074640,0.062231,0.018071,0.127333,0.089726,0.063167,0.006406,0.143690,0.047861,0.083383,0.002000,28419841
560001,0.039479, 0.092349, 0.024581, 0.002000,0.069579,0.072166,0.064334,0.036932,0.071544,0.081571,0.066860,0.027857,0.055129,0.093521,0.093731,0.003732,28370090
560501,0.245195, 0.005177, 0.002000, 0.002000,0.076442,0.049460,0.068369,0.025000,0.143260,0.035550,0.079031,0.014302,0.200908,0.003059,0.030272,0.003069,28511559
561001,0.295328, 0.119393, 0.002000, 0.002000,0.073263,0.072412,0.059363,0.030099,0.094015,0.074504,0.061410,0.015838,0.164607,0.092208,0.052867,0.002623,28444259
561501,0.034624, 0.149225, 0.002000, 0.002000,0.071718,0.076795,0.067565,0.022703,0.093551,0.090191,0.081040,0.009472,0.054524,0.155833,0.041492,0.004760,28463276
562001,0.063321, 0.046543, 0.194138, 0.002000,0.078041,0.059336,0.082671,0.027895,0.092045,0.073406,0.102826,0.014229,0.052468,0.034674,0.112086,0.002000,28446089
562501,0.086463, 0.053638, 0.059964, 0.002000,0.076910,0.076229,0.092897,0.020897,0.076547,0.073782,0.113547,0.011200,0.086504,0.066970,0.133561,0.013959,28421961
563001,0.084144, 0.002000, 0.089219, 0.040470,0.060284,0.061859,0.063488,0.031548,0.062731,0.067410,0.063952,0.015128,0.070470,0.053398,0.077939,0.016144,28454374
563501,0.121048, 0.070722, 0.072134, 0.002000,0.078065,0.062773,0.060820,0.032270,0.089097,0.052317,0.066556,0.017636,0.123536,0.082664,0.035869,0.005552,28482870
564001,0.145471, 0.082829, 0.002000, 0.002000,0.088297,0.060477,0.079544,0.025542,0.098387,0.068530,0.080831,0.015268,0.122728,0.079876,0.049202,0.017708,28400669
564501,0.036448, 0.011411, 0.226559, 0.002000,0.060917,0.069012,0.079810,0.022313,0.084613,0.113433,0.093641,0.008833,0.081362,0.059298,0.105300,0.001681,28403064
565001,0.037329, 0.095353, 0.155049, 0.043448,0.057746,0.045973,0.071203,0.021521,0.059365,0.058507,0.098692,0.011433,0.071274,0.033118,0.112093,0.019179,28507273
565501,0.002000, 0.002000, 0.069323, 0.002000,0.053620,0.057572,0.078466,0.026998,0.070243,0.056803,0.104761,0.014606,0.051772,0.021753,0.085258,0.005202,28380116
566001,0.099465, 0.115619, 0.172818, 0.002000,0.060762,0.062098,0.063815,0.025409,0.075660,0.053059,0.068382,0.013802,0.076498,0.063832,0.103769,0.060073,28376146
566501,0.100972, 0.002000, 0.065693, 0.002000,0.066068,0.061724,0.057503,0.019069,0.060451,0.060622,0.057627,0.011245,0.109703,0.002000,0.023231,0.007558,28357571
567001,0.089910, 0.015078, 0.017841, 0.002000,0.092330,0.050409,0.045845,0.019300,0.103187,0.040303,0.033367,0.010643,0.111329,0.029201,0.031671,0.002000,28401922
567501,0.014314, 0.002000, 0.135817, 0.091958,0.074908,0.059612,0.058132,0.024151,0.096203,0.070502,0.079375,0.011834,0.078018,0.029074,0.117345,0.031986,28540598
568001,0.002000, 0.002000, 0.093930, 0.002000,0.055652,0.084271,0.075991,0.023383,0.053339,0.118449,0.073645,0.011702,0.072443,0.080307,0.108948,0.002000,28449902
568501,0.025124, 0.235097, 0.147707, 0.002000,0.072974,0.091904,0.056141,0.026978,0.065417,0.134277,0.050709,0.013912,0.108721,0.193208,0.055457,0.002074,28492690
569001,0.128187, 0.123095, 0.002000, 0.002000,0.073339,0.081179,0.071502,0.015091,0.079979,0.117691,0.075671,0.008756,0.069399,0.148514,0.027238,0.002000,28446212
569501,0.099990, 0.095156, 0.189898, 0.002000,0.098919,0.091963,0.062023,0.011572,0.101554,0.121323,0.078621,0.006202,0.086151,0.055401,0.075111,0.002000,28404177
570001,0.016221, 0.085038, 0.173497, 0.002000,0.064802,0.066126,0.077920,0.030825,0.071179,0.065884,0.074122,0.019706,0.049836,0.103924,0.059166,0.014020,28417446
570501,0.017702, 0.002000, 0.041555, 0.071830,0.073381,0.090812,0.050666,0.022726,0.067256,0.083625,0.065311,0.013008,0.112344,0.027828,0.070523,0.025277,28473424
571001,0.010545, 0.115824, 0.069197, 0.002000,0.063197,0.059767,0.070144,0.026725,0.068290,0.062207,0.066747,0.016177,0.047920,0.059674,0.099088,0.002000,28467685
571501,0.002000, 0.091330, 0.002000, 0.002000,0.061936,0.093629,0.071987,0.018764,0.071474,0.094655,0.084189,0.009414,0.030831,0.060300,0.087431,0.023857,28451838
572001,0.138423, 0.002000, 0.002000, 0.007653,0.081258,0.070987,0.051109,0.013330,0.112487,0.094502,0.038819,0.007849,0.106044,0.070975,0.058925,0.018738,28420146
572501,0.147088, 0.002000, 0.002000, 0.029723,0.063827,0.064506,0.047864,0.022303,0.099175,0.079169,0.040586,0.011519,0.150540,0.082947,0.057099,0.015304,28432052
573001,0.002000, 0.070472, 0.002000, 0.002000,0.072430,0.061509,0.067211,0.028137,0.068313,0.071788,0.061850,0.020791,0.063183,0.077341,0.075471,0.037787,28447695
573501,0.153350, 0.001810, 0.002000, 0.002000,0.069377,0.054848,0.061828,0.021922,0.082033,0.052761,0.070012,0.009670,0.135944,0.024100,0.045439,0.002000,28430137
574001,0.002000, 0.018732, 0.086801, 0.035133,0.090903,0.051232,0.050423,0.015127,0.072625,0.059353,0.051874,0.006979,0.028437,0.035648,0.089111,0.014360,28470327
574501,0.002000, 0.096560, 0.025183, 0.002000,0.055694,0.083496,0.066838,0.030682,0.045149,0.112063,0.077649,0.016731,0.028612,0.107346,0.100299,0.012309,28375201
575001,0.152061, 0.002000, 0.082756, 0.067311,0.114933,0.077899,0.082481,0.023149,0.161567,0.063777,0.075276,0.011761,0.130351,0.090717,0.066893,0.045823,28466085
575501,0.004229, 0.120958, 0.233746, 0.059230,0.094074,0.059042,0.091556,0.024893,0.111580,0.064611,0.069081,0.012572,0.083173,0.081043,0.079249,0.039850,28384782
576001,0.019848, 0.067175, 0.028985, 0.002000,0.063495,0.081060,0.057003,0.027757,0.074867,0.096027,0.050304,0.017256,0.032863,0.052022,0.042880,0.007279,28418716
576501,0.090991, 0.196707, 0.029074, 0.005740,0.049618,0.068992,0.073436,0.014572,0.057431,0.080624,0.099085,0.007582,0.039686,0.082022,0.086081,0.003036,28469123
