Generation, BPA-R, BPA-S, BPA-T, BPA-P, WPA-R, WPA-S, WPA-T, WPA-P, AA-R, AA-S, AA-T, AA-P
8700,0.992515, 0.089915, 0.008363, 0.008145,0.156345, 0.982851, 0.927042, 0.954237,0.890497,0.165851,0.120034,0.128924
8750,0.991312, 0.016608, 0.007474, 0.009440,0.032603, 0.946649, 0.915193, 0.616305,0.894639,0.141439,0.136616,0.101318
8800,0.990428, 0.008953, 0.010163, 0.007521,0.149587, 0.984211, 0.212667, 0.941561,0.847128,0.171227,0.116401,0.126482
8850,0.991441, 0.032851, 0.015617, 0.010696,0.055694, 0.925761, 0.492417, 0.984731,0.884370,0.184008,0.116853,0.125073
8900,0.990210, 0.059442, 0.008694, 0.040370,0.011460, 0.950719, 0.711459, 0.978655,0.882055,0.148647,0.129814,0.152688
8950,0.988274, 0.006825, 0.010909, 0.007878,0.598950, 0.992224, 0.035593, 0.926845,0.919457,0.151896,0.088798,0.115482
9000,0.992129, 0.055087, 0.011423, 0.008667,0.011650, 0.928413, 0.834087, 0.976885,0.909412,0.161223,0.087709,0.123120
9050,0.990428, 0.008953, 0.010163, 0.007521,0.070266, 0.935234, 0.596310, 0.921637,0.912996,0.171862,0.105969,0.118813
9100,0.990954, 0.039826, 0.012297, 0.050059,0.278386, 0.825559, 0.986445, 0.964734,0.868392,0.179086,0.096863,0.141069
9150,0.992050, 0.083062, 0.007734, 0.009202,0.008745, 0.991060, 0.991263, 0.944379,0.863568,0.150895,0.144671,0.126721
9200,0.992050, 0.083062, 0.007734, 0.009202,0.025443, 0.897651, 0.041954, 0.569574,0.899713,0.127741,0.097090,0.126989
9250,0.987535, 0.026204, 0.008404, 0.028088,0.018753, 0.915713, 0.890385, 0.991966,0.884087,0.161745,0.112641,0.131004
9300,0.989443, 0.024055, 0.006994, 0.013567,0.347783, 0.980929, 0.989693, 0.590390,0.888337,0.175888,0.078377,0.109384
9350,0.990660, 0.162403, 0.010229, 0.010636,0.030348, 0.913588, 0.115186, 0.765934,0.920130,0.168751,0.074108,0.122882
9400,0.991441, 0.032851, 0.015617, 0.010696,0.032154, 0.965560, 0.986446, 0.955644,0.880495,0.184124,0.124961,0.117371
9450,0.992758, 0.108588, 0.009251, 0.031950,0.400208, 0.814384, 0.053051, 0.990525,0.890972,0.153876,0.095788,0.109960
9500,0.992064, 0.066024, 0.014532, 0.022000,0.676626, 0.976814, 0.868491, 0.963262,0.908987,0.138913,0.094707,0.115805
9550,0.991320, 0.012255, 0.009445, 0.016424,0.150615, 0.992288, 0.922100, 0.531450,0.887352,0.151958,0.134656,0.102158
9600,0.990191, 0.047739, 0.029851, 0.009612,0.609722, 0.975729, 0.133042, 0.987786,0.934628,0.132105,0.120541,0.119756
9650,0.992945, 0.041745, 0.044334, 0.008474,0.012655, 0.924721, 0.011033, 0.986987,0.898443,0.161374,0.109764,0.101876
9700,0.990428, 0.008953, 0.010163, 0.007521,0.011576, 0.991919, 0.908473, 0.335168,0.898495,0.188363,0.128347,0.108567
9750,0.988297, 0.125506, 0.011873, 0.019771,0.388064, 0.991307, 0.947048, 0.977677,0.890316,0.157998,0.098772,0.095890
9800,0.990180, 0.094110, 0.008225, 0.013308,0.270144, 0.977218, 0.993290, 0.133633,0.893993,0.175845,0.104534,0.127229
